wl,n,k
3.5461,1.40668,0.00023
3.54108,1.40682,0.00023
3.53607,1.40696,0.00023
3.53107,1.4071,0.00023
3.52609,1.40724,0.00023
3.52113,1.40738,0.00023
3.51617,1.40752,0.00023
3.51124,1.40766,0.00023
3.50631,1.4078,0.00022
3.5014,1.40794,0.00022
3.4965,1.40807,0.00022
3.49162,1.40821,0.00022
3.48675,1.40835,0.00022
3.48189,1.40848,0.00022
3.47705,1.40861,0.00022
3.47222,1.40875,0.00022
3.46741,1.40888,0.00022
3.4626,1.40901,0.00022
3.45781,1.40914,0.00021
3.45304,1.40927,0.00021
3.44828,1.4094,0.00021
3.44353,1.40953,0.00021
3.43879,1.40966,0.00021
3.43407,1.40979,0.00021
3.42936,1.40992,0.00021
3.42466,1.41004,0.00021
3.41997,1.41017,0.00021
3.4153,1.4103,0.00021
3.41064,1.41042,0.00021
3.40599,1.41055,0.0002
3.40136,1.41067,0.0002
3.39674,1.41079,0.0002
3.39213,1.41092,0.0002
3.38753,1.41104,0.0002
3.38295,1.41116,0.0002
3.37838,1.41128,0.0002
3.37382,1.4114,0.0002
3.36927,1.41152,0.0002
3.36474,1.41164,0.0002
3.36022,1.41176,0.0002
3.3557,1.41187,0.00019
3.35121,1.41199,0.00019
3.34672,1.41211,0.00019
3.34225,1.41223,0.00019
3.33778,1.41234,0.00019
3.33333,1.41246,0.00019
3.32889,1.41257,0.00019
3.32447,1.41269,0.00019
3.32005,1.4128,0.00019
3.31565,1.41291,0.00019
3.31126,1.41302,0.00019
3.30688,1.41314,0.00019
3.30251,1.41325,0.00018
3.29815,1.41336,0.00018
3.29381,1.41347,0.00018
3.28947,1.41358,0.00018
3.28515,1.41369,0.00018
3.28084,1.4138,0.00018
3.27654,1.41391,0.00018
3.27225,1.41401,0.00018
3.26797,1.41412,0.00018
3.26371,1.41423,0.00018
3.25945,1.41434,0.00018
3.25521,1.41444,0.00018
3.25098,1.41455,0.00018
3.24675,1.41465,0.00018
3.24254,1.41476,0.00017
3.23834,1.41486,0.00017
3.23415,1.41496,0.00017
3.22997,1.41507,0.00017
3.22581,1.41517,0.00017
3.22165,1.41527,0.00017
3.2175,1.41537,0.00017
3.21337,1.41548,0.00017
3.20924,1.41558,0.00017
3.20513,1.41568,0.00017
3.20102,1.41578,0.00017
3.19693,1.41588,0.00017
3.19285,1.41598,0.00017
3.18878,1.41607,0.00017
3.18471,1.41617,0.00016
3.18066,1.41627,0.00016
3.17662,1.41637,0.00016
3.17259,1.41646,0.00016
3.16857,1.41656,0.00016
3.16456,1.41666,0.00016
3.16056,1.41675,0.00016
3.15657,1.41685,0.00016
3.15259,1.41694,0.00016
3.14861,1.41704,0.00016
3.14465,1.41713,0.00016
3.1407,1.41722,0.00016
3.13676,1.41732,0.00016
3.13283,1.41741,0.00016
3.12891,1.4175,0.00016
3.125,1.41759,0.00015
3.1211,1.41769,0.00015
3.11721,1.41778,0.00015
3.11333,1.41787,0.00015
3.10945,1.41796,0.00015
3.10559,1.41805,0.00015
3.10174,1.41814,0.00015
3.09789,1.41823,0.00015
3.09406,1.41832,0.00015
3.09023,1.4184,0.00015
3.08642,1.41849,0.00015
3.08261,1.41858,0.00015
3.07882,1.41867,0.00015
3.07503,1.41875,0.00015
3.07125,1.41884,0.00015
3.06748,1.41893,0.00015
3.06373,1.41901,0.00015
3.05998,1.4191,0.00014
3.05623,1.41918,0.00014
3.0525,1.41927,0.00014
3.04878,1.41935,0.00014
3.04507,1.41944,0.00014
3.04136,1.41952,0.00014
3.03767,1.41961,0.00014
3.03398,1.41969,0.00014
3.0303,1.41977,0.00014
3.02663,1.41985,0.00014
3.02297,1.41994,0.00014
3.01932,1.42002,0.00014
3.01568,1.4201,0.00014
3.01205,1.42018,0.00014
3.00842,1.42026,0.00014
3.00481,1.42034,0.00014
3.0012,1.42042,0.00014
2.9976,1.4205,0.00014
2.99401,1.42058,0.00014
2.99043,1.42066,0.00013
2.98686,1.42074,0.00013
2.98329,1.42082,0.00013
2.97974,1.42089,0.00013
2.97619,1.42097,0.00013
2.97265,1.42105,0.00013
2.96912,1.42113,0.00013
2.9656,1.4212,0.00013
2.96209,1.42128,0.00013
2.95858,1.42136,0.00013
2.95508,1.42143,0.00013
2.95159,1.42151,0.00013
2.94811,1.42158,0.00013
2.94464,1.42166,0.00013
2.94118,1.42173,0.00013
2.93772,1.42181,0.00013
2.93427,1.42188,0.00013
2.93083,1.42196,0.00013
2.9274,1.42203,0.00013
2.92398,1.4221,0.00013
2.92056,1.42218,0.00013
2.91715,1.42225,0.00012
2.91375,1.42232,0.00012
2.91036,1.42239,0.00012
2.90698,1.42246,0.00012
2.9036,1.42254,0.00012
2.90023,1.42261,0.00012
2.89687,1.42268,0.00012
2.89352,1.42275,0.00012
2.89017,1.42282,0.00012
2.88684,1.42289,0.00012
2.88351,1.42296,0.00012
2.88018,1.42303,0.00012
2.87687,1.4231,0.00012
2.87356,1.42317,0.00012
2.87026,1.42324,0.00012
2.86697,1.4233,0.00012
2.86369,1.42337,0.00012
2.86041,1.42344,0.00012
2.85714,1.42351,0.00012
2.85388,1.42358,0.00012
2.85063,1.42364,0.00012
2.84738,1.42371,0.00012
2.84414,1.42378,0.00012
2.84091,1.42384,0.00011
2.83768,1.42391,0.00011
2.83447,1.42398,0.00011
2.83126,1.42404,0.00011
2.82805,1.42411,0.00011
2.82486,1.42417,0.00011
2.82167,1.42424,0.00011
2.81849,1.4243,0.00011
2.81532,1.42437,0.00011
2.81215,1.42443,0.00011
2.80899,1.42449,0.00011
2.80584,1.42456,0.00011
2.80269,1.42462,0.00011
2.79955,1.42468,0.00011
2.79642,1.42475,0.00011
2.7933,1.42481,0.00011
2.79018,1.42487,0.00011
2.78707,1.42494,0.00011
2.78396,1.425,0.00011
2.78087,1.42506,0.00011
2.77778,1.42512,0.00011
2.77469,1.42518,0.00011
2.77162,1.42524,0.00011
2.76855,1.4253,0.00011
2.76549,1.42537,0.00011
2.76243,1.42543,0.0001
2.75938,1.42549,0.0001
2.75634,1.42555,0.0001
2.7533,1.42561,0.0001
