wl,n,k
0.61752,1.7915,4.1167
0.61511,1.7864,4.1048
0.6127,1.7813,4.093
0.61031,1.7762,4.0811
0.60792,1.7711,4.0694
0.60555,1.766,4.0576
0.60318,1.7609,4.0458
0.60082,1.7559,4.0341
0.59848,1.7508,4.0224
0.59614,1.7457,4.0107
0.59381,1.7407,3.9991
0.59149,1.7356,3.9875
0.58918,1.7305,3.9759
0.58687,1.7255,3.9643
0.58458,1.7205,3.9527
0.58229,1.7154,3.9412
0.58002,1.7104,3.9297
0.57775,1.7054,3.9182
0.57549,1.7004,3.9068
0.57324,1.6954,3.8953
0.571,1.6904,3.8839
0.56877,1.6854,3.8725
0.56655,1.6805,3.8611
0.56434,1.6755,3.8498
0.56213,1.6706,3.8384
0.55993,1.6656,3.8271
0.55774,1.6607,3.8158
0.55556,1.6557,3.8046
0.55339,1.6508,3.7933
0.55123,1.6459,3.7821
0.54908,1.641,3.7709
0.54693,1.6361,3.7597
0.54479,1.6312,3.7485
0.54266,1.6264,3.7374
0.54054,1.6215,3.7263
0.53843,1.6166,3.7151
0.53633,1.6118,3.7041
0.53423,1.607,3.693
0.53214,1.6021,3.6819
0.53006,1.5973,3.6709
0.52799,1.5925,3.6599
0.52593,1.5877,3.6489
0.52387,1.583,3.6379
0.52182,1.5782,3.627
0.51978,1.5735,3.616
0.51775,1.5687,3.6051
0.51573,1.564,3.5942
0.51371,1.5593,3.5833
0.51171,1.5546,3.5724
0.50971,1.5499,3.5616
0.50771,1.5452,3.5507
0.50573,1.5405,3.5399
0.50375,1.5359,3.5291
0.50178,1.5312,3.5183
0.49982,1.5266,3.5076
0.49787,1.522,3.4968
0.49592,1.5174,3.4861
0.49399,1.5128,3.4754
0.49206,1.5083,3.4647
0.49013,1.5037,3.454
0.48822,1.4992,3.4433
0.48631,1.4946,3.4327
0.48441,1.4901,3.422
0.48251,1.4856,3.4114
0.48063,1.4812,3.4008
0.47875,1.4767,3.3902
0.47688,1.4723,3.3797
0.47502,1.4678,3.3691
0.47316,1.4634,3.3586
0.47131,1.459,3.348
0.46947,1.4547,3.3375
0.46763,1.4503,3.327
0.46581,1.446,3.3165
0.46398,1.4416,3.3061
0.46217,1.4373,3.2956
0.46036,1.433,3.2852
0.45857,1.4288,3.2748
0.45677,1.4245,3.2644
0.45499,1.4203,3.254
0.45321,1.4161,3.2436
0.45144,1.4119,3.2332
0.44967,1.4077,3.2229
0.44792,1.4036,3.2126
0.44617,1.3994,3.2022
0.44442,1.3953,3.1919
0.44269,1.3912,3.1816
0.44096,1.3872,3.1714
0.43923,1.3831,3.1611
0.43752,1.3791,3.1509
0.43581,1.3751,3.1406
0.4341,1.3711,3.1304
0.43241,1.3672,3.1202
0.43072,1.3632,3.11
0.42903,1.3593,3.0999
0.42736,1.3554,3.0897
0.42569,1.3516,3.0796
0.42402,1.3477,3.0694
0.42236,1.3439,3.0593
0.42071,1.3401,3.0492
0.41907,1.3363,3.0391
0.41743,1.3326,3.0291
0.4158,1.3289,3.019
0.41418,1.3252,3.009
0.41256,1.3215,2.999
0.41094,1.3179,2.989
0.40934,1.3143,2.979
0.40774,1.3107,2.969
0.40614,1.3072,2.959
0.40456,1.3036,2.9491
0.40298,1.3001,2.9391
0.4014,1.2967,2.9292
0.39983,1.2932,2.9193
0.39827,1.2898,2.9094
0.39671,1.2864,2.8996
0.39516,1.2831,2.8897
0.39362,1.2798,2.8799
0.39208,1.2765,2.8701
0.39055,1.2732,2.8603
0.38902,1.27,2.8505
0.3875,1.2668,2.8407
0.38599,1.2636,2.831
0.38448,1.2605,2.8212
0.38298,1.2574,2.8115
0.38148,1.2543,2.8018
